iter	Logloss
0	0.6801111363
1	0.6654950174
2	0.6517324537
3	0.6412495297
4	0.629286713
5	0.6172815269
6	0.606599421
7	0.5956311826
8	0.5859727392
9	0.5769343372
10	0.5695225426
11	0.5614037128
12	0.5540162173
13	0.5475007113
14	0.5404465684
15	0.5347731418
16	0.5278207129
17	0.5218052668
18	0.5165491647
19	0.511338111
20	0.5067235727
21	0.5018992409
22	0.4974061338
23	0.4924796999
24	0.4886518784
25	0.4846396979
26	0.4817098121
27	0.4781357934
28	0.4739306186
29	0.470548944
30	0.467592406
31	0.4647253835
32	0.4624515854
33	0.4594967746
34	0.4571165917
35	0.4547655457
36	0.4522022467
37	0.4502448625
38	0.4482876166
39	0.4463771851
40	0.4446104911
41	0.442914036
42	0.441250812
43	0.4397545377
44	0.4380885877
45	0.4367868778
46	0.435237768
47	0.4338746712
48	0.4325261409
49	0.4312387771
50	0.4301115917
51	0.4286810901
52	0.4276044762
53	0.4264732113
54	0.4251864491
55	0.4241381882
56	0.4231103354
57	0.4220629444
58	0.4210022982
59	0.4202461671
60	0.4192625543
61	0.418204287
62	0.4171619742
63	0.4162795765
64	0.4154834044
65	0.4147029433
66	0.4140931596
67	0.4134406526
68	0.412746664
69	0.412058915
70	0.4114518437
71	0.4108749965
72	0.4101719397
73	0.4096387251
74	0.4090441425
75	0.4084643134
76	0.4076199085
77	0.4070874109
78	0.4064431125
79	0.4059829634
80	0.4053624642
81	0.4046549899
82	0.4041024484
83	0.4035840091
84	0.4027898894
85	0.4021947001
86	0.401504499
87	0.4008956785
88	0.4004943107
89	0.3999672188
90	0.3994666736
91	0.3990211474
92	0.398635312
93	0.3981485118
94	0.3977426622
95	0.3973400114
96	0.3969750569
97	0.3965904659
98	0.3962816317
99	0.3957994001
100	0.395393672
101	0.3948923854
102	0.39449517
103	0.3941817524
104	0.3938674962
105	0.3935169082
106	0.3930717244
107	0.3928511382
108	0.3924815846
109	0.3920527232
110	0.3916278378
111	0.3912401844
112	0.3908128848
113	0.3904949911
114	0.3900756848
115	0.3898591662
116	0.3895991943
117	0.389369363
118	0.3890488833
119	0.3888086148
120	0.3885383233
121	0.3882164345
122	0.3879228573
123	0.387625874
124	0.3872934235
125	0.386924393
126	0.3866147577
127	0.3864149144
128	0.3861842554
129	0.385888082
130	0.3856639989
131	0.3854122365
132	0.3851681971
133	0.3849774314
134	0.3847011341
135	0.3844039209
136	0.3841146187
137	0.3839138411
138	0.3837124139
139	0.3834343478
140	0.3831713808
141	0.3829134435
142	0.3826598794
143	0.3823888749
144	0.3822246963
145	0.3819942074
146	0.3817950346
147	0.3816186166
148	0.3813858748
149	0.3810144769
150	0.3807822224
151	0.3806151327
152	0.3803885826
153	0.3802080483
154	0.379970402
155	0.3797303613
156	0.3794271375
157	0.3792058589
158	0.3790429739
159	0.3788115001
160	0.3786483512
161	0.37836868
162	0.3781799407
163	0.3778923486
164	0.3776669627
165	0.377340009
166	0.3771323953
167	0.3770050221
168	0.376790152
169	0.3766356713
170	0.3764218365
171	0.3762388306
172	0.376050657
173	0.375858318
174	0.3755946625
175	0.3754493007
176	0.3753065413
177	0.375098544
178	0.3749719246
179	0.3747958731
180	0.3746349434
181	0.3744995355
182	0.374394578
183	0.374234856
184	0.3740617104
185	0.3738759026
186	0.373720142
187	0.3734813214
188	0.3733349188
189	0.3731075316
190	0.372970672
191	0.3728173928
192	0.3726872995
193	0.3725887685
194	0.3724380513
195	0.3722875802
196	0.3721682367
197	0.3720551108
198	0.3719659274
199	0.3718156569
200	0.3715829452
201	0.3714652631
202	0.3711756788
203	0.3710190838
204	0.3709317742
205	0.3707421696
206	0.3705948801
207	0.370391618
208	0.3701886244
209	0.370024708
210	0.3698422005
211	0.3697379335
212	0.3695171378
213	0.3693541724
214	0.3691968793
215	0.3689110872
216	0.3687847408
217	0.3686903487
218	0.3684839731
219	0.3683376017
220	0.3681684816
221	0.3680072615
222	0.3678298619
223	0.3677324379
224	0.3675836788
225	0.3674150132
226	0.3671825136
227	0.3670063307
228	0.3668372502
229	0.3666767464
230	0.366595441
231	0.3664971548
232	0.3664085846
233	0.3662591238
234	0.3660246334
235	0.3659177853
236	0.3657876731
237	0.365735277
238	0.3655583471
239	0.3654551059
240	0.3652353738
241	0.3650218521
242	0.3648672952
243	0.3646955269
244	0.3645848454
245	0.3643796794
246	0.3641791331
247	0.3640035006
248	0.3638936583
249	0.3637806198
250	0.3635798527
251	0.3633945468
252	0.3631752141
253	0.3630720866
254	0.3629703126
255	0.3628641904
256	0.362720821
257	0.3625740023
258	0.3624070153
259	0.3622832538
260	0.3620723066
261	0.3619513803
262	0.361760275
263	0.3615481079
264	0.3613790116
265	0.3612758329
266	0.3610231798
267	0.360888617
268	0.3607507877
269	0.3606342415
270	0.3604763756
271	0.3602907833
272	0.3601943968
273	0.3601763998
274	0.3601226024
275	0.3599426217
276	0.3597717455
277	0.3596351019
278	0.3594986469
279	0.3594203748
280	0.3592164152
281	0.3590942677
282	0.3589499009
283	0.3587442293
284	0.3584462802
285	0.3582518031
286	0.358065562
287	0.3579182535
288	0.3577821832
289	0.3575764661
290	0.3574780189
291	0.3572786129
292	0.3571002524
293	0.3570017914
294	0.3567936295
295	0.3565722315
296	0.356528365
297	0.3563879158
298	0.3562834074
299	0.3561063883
300	0.3560403369
301	0.3558979793
302	0.3557309431
303	0.3555723573
304	0.3553173614
305	0.3552469538
306	0.3551351982
307	0.3550536837
308	0.3548939244
309	0.3547797076
310	0.3546032086
311	0.3545361039
312	0.3544147726
313	0.3542633086
314	0.3540490574
315	0.3539006322
316	0.3537778176
317	0.3536098329
318	0.3534365252
319	0.3532391857
320	0.3531071491
321	0.3530216224
322	0.3529066195
323	0.3527953609
324	0.3525473627
325	0.3523598218
326	0.3522075991
327	0.3520365193
328	0.3519190956
329	0.3517785537
330	0.3514987701
331	0.3512835067
332	0.3512286472
333	0.3511520651
334	0.3510381199
335	0.3509197252
336	0.3508062024
337	0.3506727518
338	0.3506028444
339	0.3504672804
340	0.3503559489
341	0.3501884335
342	0.3499893328
343	0.349868041
344	0.3497130455
345	0.349489573
346	0.3493315723
347	0.3492242237
348	0.3490446174
349	0.3489265777
350	0.3487489172
351	0.348570553
352	0.3484592738
353	0.3483605722
354	0.348198573
355	0.3481414388
356	0.3480151231
357	0.3477988613
358	0.3475932006
359	0.3474244147
360	0.3473379553
361	0.3472312557
362	0.3471125841
363	0.3469748199
364	0.3469147835
365	0.3468252022
366	0.3467055066
367	0.3465787055
368	0.3463638838
369	0.3462537436
370	0.3461283515
371	0.3460373604
372	0.3459627121
373	0.3458347555
374	0.3456941989
375	0.3455565441
376	0.3453857924
377	0.3452436381
378	0.3451306305
379	0.3450073251
380	0.3449172881
381	0.3446701066
382	0.3445259053
383	0.344395082
384	0.3442149531
385	0.3440746953
386	0.3438600589
387	0.3436961591
388	0.3435500395
389	0.3434253736
390	0.3433476791
391	0.3431782888
392	0.3430426123
393	0.34295263
394	0.3428116604
395	0.3426210343
396	0.3424511023
397	0.3423567469
398	0.3422313256
399	0.3420567001
400	0.3419147358
401	0.3417963327
402	0.3416878694
403	0.3415169906
404	0.3413274879
405	0.3412207132
406	0.3410109506
407	0.3407969961
408	0.3406944154
409	0.340452215
410	0.3403351616
411	0.3402223469
412	0.3401392579
413	0.3400036988
414	0.3399501781
415	0.3397628306
416	0.3396315947
417	0.3394489501
418	0.3393094543
419	0.3392405449
420	0.339136036
421	0.3389068893
422	0.3387926103
423	0.3386424219
424	0.3385461209
425	0.3384584082
426	0.3383937315
427	0.3381997669
428	0.3379788001
429	0.3377461819
430	0.3375702195
431	0.3373517221
432	0.337213312
433	0.3370371448
434	0.3369159548
435	0.3367606685
436	0.3366310866
437	0.3365410385
438	0.3363689695
439	0.3362832565
440	0.3361573445
441	0.3359378215
442	0.3357781605
443	0.3356755763
444	0.3355530918
445	0.3354384294
446	0.3353423931
447	0.3352054176
448	0.3350751399
449	0.3348955201
450	0.3347788642
451	0.3346198758
452	0.334546131
453	0.3344245221
454	0.3343072646
455	0.3341889032
456	0.3340620225
457	0.3339101166
458	0.3337574884
459	0.3336535804
460	0.3335085683
461	0.3333772752
462	0.3332986153
463	0.3332156323
464	0.3330759181
465	0.3330196742
466	0.3328825535
467	0.3327766043
468	0.3325969456
469	0.3324776688
470	0.3323452711
471	0.3321968777
472	0.3320559137
473	0.3319715735
474	0.3318250042
475	0.3316894966
476	0.3315897549
477	0.3314807579
478	0.3313119225
479	0.3312313923
480	0.3310306912
481	0.3309100122
482	0.33077207
483	0.3306022688
484	0.3304635025
485	0.3303817497
486	0.3303203875
487	0.3300910632
488	0.3300038163
489	0.3299260246
490	0.3298322706
491	0.3297012606
492	0.3296320701
493	0.329554692
494	0.3294671449
